NUM_ANP,ID_ANP,ID_DOF,NOMBRE,CAT_MANEJO,ESTADOS,REGION,SUPERFICIE,S_TERRES,S_MARINA,PRIM_DEC,ULT_DOF,PM,CERT_SINAP
227,ANP00907227,9.7.14.227,Felipe Carrillo Puerto,APFF,Quintana Roo,Península de Yucatán y Caribe Mexicano,53227.07023714218,53227.07023714220,0.00000000000,2024/09/23,2024/09/23,,
228,ANP00706228,7.6.03.228,Kowtahyolo,APRN,Puebla,Planicie Costera y Golfo de México,1732.99344200000,1732.99344200000,0.00000000000,2024/09/26,2024/09/26,,
229,ANP00907229,9.7.15.229,Chunyaxché,APFF,Quintana Roo,Península de Yucatán y Caribe Mexicano,5509.03822800000,5509.03822800000,0.00000000000,2024/09/26,2024/09/26,,
230,ANP00807230,8.7.08.230,Bajos de Coyula II,APFF,Oaxaca,"Frontera Sur, Istmo y Pacífico Sur",2633.48827900000,2633.48827900000,0.00000000000,2024/09/26,2024/09/26,,
231,ANP09703231,9.3.11.231,Arrecifes del Golfo de México-Sur,PN,Golfo de México,"Planicie Costera y Golfo de México; Península de Yucatán y Caribe Mexicano",4109731.42560900049,0.00000000000,4109731.42560900049,2024/09/26,2024/09/26,,
110,ANP00201110,2.1.01.110,Alto Golfo de California y Delta del Río Colorado,RB,Baja California y Sonora,Noroeste y Alto Golfo de California,934756.25000000000,407147.54560000001,527608.70440000005,1993/06/10,1993/06/10,2009/09/25,SINAP 004
157,ANP00103157,1.3.05.157,Zona marina del Archipiélago de San Lorenzo,PN,Se ubica en el Golfo de California,Península de Baja California y Pacífico Norte,58442.80454000000,0.00000000000,58442.80454000000,2005/04/25,2005/04/25,2015/01/20,SINAP 057
163,ANP00101163,1.1.05.163,"Zona marina Bahía de los Ángeles, canales de Ballenas y de Salsipuedes",RB,Se ubica en el Golfo de California,Península de Baja California y Pacífico Norte,387956.88419999997,483.20050000000,387473.68369999999,2007/06/05,2007/06/05,2013/11/05,SINAP 059
160,ANP00907160,9.7.04.160,Bala'an K'aax,APFF,Quintana Roo,Península de Yucatán y Caribe Mexicano,128390.15549999999,128390.15549999999,0.00000000000,2005/05/03,2005/05/03,2011/02/25,SINAP 071
177,ANP00107177,1.7.03.177,Balandra,APFF,Baja California Sur,Península de Baja California y Pacífico Norte,2512.73075000000,1319.52959000000,1193.20116000000,2012/11/30,2012/11/30,2015/10/29,
33,ANP00503033,5.3.03.033,Barranca del Cupatitzio,PN,Michoacán,Occidente y Pacífico Centro,458.21000000000,458.21000000000,0.00000000000,1938/11/02,1996/08/01,2009/04/22,
23,ANP00803023,8.3.02.023,Benito Juárez,PN,Oaxaca,"Frontera Sur, Istmo y Pacífico Sur",2591.51565900000,2591.51565900000,0.00000000000,1937/12/30,1937/12/30,2013/12/27,
105,ANP00804105,8.4.01.105,Bonampak,MN,Chiapas,"Frontera Sur, Istmo y Pacífico Sur",4357.40000000000,4357.40000000000,0.00000000000,1992/08/21,1992/08/21,2010/07/08,SINAP 053
25,ANP00703025,7.3.03.025,Cañón del Río Blanco,PN,Veracruz,Planicie Costera y Golfo de México,48799.77547000000,48799.77547000000,0.00000000000,1938/03/22,1938/03/22,,
118,ANP00407118,4.7.03.118,Cañón de Santa Elena,APFF,Chihuahua,Noreste y Sierra Madre Oriental,277209.72129999998,277209.72129999998,0.00000000000,1994/11/07,1994/11/07,2012/06/05,SINAP 011
46,ANP00506046,5.6.01.046,C.A.D.N.R. 001 Pabellón,APRN,Aguascalientes y Zacatecas,Occidente y Pacífico Centro,97699.68967000001,97699.68967000001,0.00000000000,1949/08/03,2002/11/07,,
47,ANP00406047,4.6.01.047,C.A.D.N.R. 004 Don Martín,APRN,Coahuila,Noreste y Sierra Madre Oriental,1519385.03099999996,1519385.03099999996,0.00000000000,1949/08/03,2002/11/07,,
48,ANP00406048,4.6.02.048,C.A.D.N.R. 026 Bajo Río San Juan,APRN,Coahuila y Nuevo León,Noreste y Sierra Madre Oriental,197156.79000000001,197156.79000000001,0.00000000000,1949/08/03,2002/11/07,,
24,ANP00307024,3.7.02.024,Campo Verde,APFF,Chihuahua,Norte y Sierra Madre Occidental,108067.47280000000,108067.47280000000,0.00000000000,1938/01/03,2003/01/29,,
